gene,k,MD,LI,LS,tau,tau2,I2,pvalor,significativo,Pathway,UP/DOWN,Alteração
ADA2,3,"-0,08751","-0,48799","0,31297",0,0,0,"0,668437",0,autophagy,DOWN,"0,94"
CHCHD6,3,"-0,08709","-0,28439","0,110215",0,0,0,"0,386975",0,Mitochondrial Biogenesis (complete),DOWN,"0,94"
PLA2G6,3,"-0,08657","-0,25903","0,085896",0,0,0,"0,325205",0,Mitochondrial Biogenesis (complete),DOWN,"0,94"
DEPTOR,3,"-0,08558","-0,52692","0,355769","0,253267","0,064144","33,9","0,703916",0,Autophagy,DOWN,"0,94"
ACAT2,3,"-0,08505","-0,62747","0,457364","0,457059","0,208903","91,2","0,758584",0,autophagy,DOWN,"0,94"
OPA3,3,"-0,08468","-0,38671","0,217341","0,22516","0,050697","74,1","0,582623",0,Mitochondrial Biogenesis (complete),DOWN,"0,94"
MICOS10,2,"-0,08443","-0,4323","0,263449","0,220377","0,048566","77,1","0,634301",0,Mitochondrial Biogenesis (complete),DOWN,"0,94"
TIMM13,3,"-0,08154","-0,37152","0,208443","0,195596","0,038258","58,4","0,58155",0,Mitochondrial Biogenesis (complete),DOWN,"0,95"
MICOS13,3,"-0,08077","-0,48851","0,326976","0,329066","0,108284","83,8","0,697835",0,Mitochondrial Biogenesis (complete),DOWN,"0,95"
SH3GLB1,3,"-0,07988","-0,2679","0,108141","0,131591","0,017316","62,9","0,405013",0,Mitochondrial Biogenesis (complete),DOWN,"0,95"
FBXL12,3,"-0,07934","-0,27511","0,116422","0,124983","0,015621","52,1","0,426976",0,autophagy,DOWN,"0,95"
EXOSC9,3,"-0,07897","-0,21787","0,059934",0,0,0,"0,265157",0,autophagy,DOWN,"0,95"
FDX2,3,"-0,07866","-0,58809","0,430776","0,416796","0,173719","86,9","0,762177",0,Mitochondrial Biogenesis (complete),DOWN,"0,95"
SNF8,3,"-0,07781","-0,26262","0,107002","0,112352","0,012623","47,2","0,409258",0,autophagy,DOWN,"0,95"
FDX1,3,"-0,07645","-0,19609","0,04319",0,0,0,"0,21041",0,Mitochondrial Biogenesis (complete),DOWN,"0,95"
EXOSC5,3,"-0,07553","-0,43611","0,285054","0,24593","0,060482","59,6","0,681409",0,autophagy,DOWN,"0,95"
PIF1,3,"-0,0754","-0,49247","0,34168","0,262882","0,069107","49,8","0,723105",0,Mitochondrial Biogenesis (complete),DOWN,"0,95"
ESRRA,3,"-0,07497","-0,40929","0,259347","0,263863","0,069624","80,1","0,660272",0,Mitochondrial Biogenesis (complete),DOWN,"0,95"
CTSO,3,"-0,07385","-0,51998","0,37228","0,346015","0,119726",78,"0,745599",0,autophagy,DOWN,"0,95"
CTSF,3,"-0,0735","-0,35191","0,204911",0,0,0,"0,60486",0,autophagy,DOWN,"0,95"
CNOT2,3,"-0,07289","-0,27185","0,12607","0,137337","0,018861","61,1","0,472718",0,autophagy,DOWN,"0,95"
POLRMT,3,"-0,07154","-0,24281","0,099726",0,0,0,"0,412945",0,Mitochondrial Biogenesis (complete),DOWN,"0,95"
OAT,3,"-0,07051","-0,44732","0,306304","0,280093","0,078452","75,5","0,713811",0,autophagy,DOWN,"0,95"
PNPLA5,3,"-0,06971","-0,26653","0,127116",0,0,0,"0,487592",0,autophagy,DOWN,"0,95"
MTG1,3,"-0,06916","-0,31141","0,173093","0,168247","0,028307","62,1","0,575784",0,Mitochondrial Biogenesis (complete),DOWN,"0,95"
PCYOX1,3,"-0,06884","-0,54264","0,40497","0,401655","0,161327","93,1","0,775832",0,autophagy,DOWN,"0,95"
UQCC3,3,"-0,06857","-0,39719","0,260041","0,231187","0,053447","63,6","0,682536",0,Mitochondrial Biogenesis (complete),DOWN,"0,95"
VMP1,3,"-0,06743","-0,42103","0,286165","0,281724","0,079369",82,"0,708568",0,Autophagy,DOWN,"0,95"
RUBCN,3,"-0,06674","-0,35113","0,217662","0,21399","0,045792","73,3","0,64557",0,autophagy,DOWN,"0,95"
DAP,3,"-0,06666","-0,19495","0,061621",0,0,0,"0,308426",0,autophagy,DOWN,"0,95"
RNF175,3,"-0,06656","-0,34932","0,216194",0,0,0,"0,644515",0,autophagy,DOWN,"0,95"
PCYOX1L,3,"-0,06647","-0,35723","0,2243","0,206218","0,042526","66,3","0,654126",0,autophagy,DOWN,"0,95"
PGAM5,3,"-0,06546","-0,46236","0,331432","0,325093","0,105686","87,4","0,746482",0,Mitophagy,DOWN,"0,96"
NRAS,3,"-0,06537","-0,23779","0,107054","0,106102","0,011258","48,5","0,457436",0,Autophagy,DOWN,"0,96"
SDHAF1,3,"-0,06507","-0,36913","0,238998","0,199874","0,03995","55,1","0,67491",0,Mitochondrial Biogenesis (complete),DOWN,"0,96"
AMDHD1,3,"-0,06423","-0,30389","0,175436",0,0,0,"0,599401",0,autophagy,DOWN,"0,96"
NOS1,3,"-0,06423","-0,27198","0,143526",0,0,0,"0,544561",0,autophagy,DOWN,"0,96"
ULK3,3,"-0,06406","-0,25211","0,124","0,102364","0,010478","37,8","0,504369",0,autophagy,DOWN,"0,96"
PDXDC1,3,"-0,06334","-0,20838","0,081712",0,0,0,"0,392085",0,autophagy,DOWN,"0,96"
APOO,3,"-0,06219","-0,37421","0,249824","0,238034","0,05666","74,8","0,696044",0,Mitochondrial Biogenesis (complete),DOWN,"0,96"
RRAS2,3,"-0,06196","-0,24876","0,124836","0,119318","0,014237","52,2","0,515599",0,Autophagy,DOWN,"0,96"
TRIB1,3,"-0,06192","-0,45152","0,327674","0,246217","0,060623","53,2","0,755397",0,autophagy,DOWN,"0,96"
XDH,3,"-0,06191","-0,67919","0,555361","0,411357","0,169215","59,7","0,844151",0,autophagy,DOWN,"0,96"
AIP,3,"-0,06137","-0,44768","0,324939","0,309073","0,095526",84,"0,755516",0,Mitochondrial Biogenesis (complete),DOWN,"0,96"
MAP1LC3C,3,"-0,06128","-0,41782","0,295253",0,0,0,"0,736203",0,Mitochondrial Biogenesis (complete),DOWN,"0,96"
PIK3R4,3,"-0,06104","-0,35529","0,233202","0,22147","0,049049","73,3","0,684286",0,Autophagy,DOWN,"0,96"
CHFR,3,"-0,06085","-0,21787","0,096162","0,066458","0,004417","22,5","0,447486",0,autophagy,DOWN,"0,96"
RNF125,3,"-0,06047","-0,24546","0,124512",0,0,0,"0,521688",0,autophagy,DOWN,"0,96"
IDO1,3,"-0,0603","-0,32691","0,206309",0,0,0,"0,657535",0,autophagy,DOWN,"0,96"
MAP1LC3A,3,"-0,05948","-0,24229","0,123328",0,0,0,"0,523655",0,Mitochondrial Biogenesis (complete),DOWN,"0,96"
