gene,k,MD,LI,LS,tau,tau2,I2,pvalor,significativo,Pathway,UP/DOWN,Alteração
MTIF3,3,"0,149118","-0,05714","0,355371","0,137988","0,019041","57,8","0,156468",0,Mitochondrial Biogenesis (complete),UP,"1,11"
HADHB,3,"0,14887","-0,25819","0,555933","0,342576","0,117359",92,"0,473492",0,autophagy,UP,"1,11"
NDUFAF4,3,"0,14835","-0,29744","0,594139","0,365779","0,133795","86,3","0,51424",0,Mitochondrial Biogenesis (complete),UP,"1,11"
GNPDA1,3,"0,148148","-0,03529","0,331591","0,097351","0,009477",36,"0,113447",0,autophagy,UP,"1,11"
RAD23A,3,"0,146715","-0,22652","0,519953","0,312518","0,097667","89,9","0,441034",0,autophagy,UP,"1,11"
BNIP3,3,"0,146651","-0,29067","0,58397","0,313846","0,0985","84,3","0,511007",0,Autophagy,UP,"1,11"
CNOT3,3,"0,146428","-0,03346","0,32632",0,0,0,"0,110624",0,autophagy,UP,"1,11"
SFXN3,3,"0,145444","-0,10861","0,399502","0,135173","0,018272",36,"0,261835",0,Mitochondrial Biogenesis (complete),UP,"1,11"
RNF121,3,"0,145231","-0,03508","0,325542","0,014113","0,000199","0,8","0,11441",0,autophagy,UP,"1,11"
RPP40,3,"0,143418","-0,08528","0,372118",0,0,0,"0,219026",0,Mitochondrial Biogenesis (complete),UP,"1,10"
TRHDE,3,"0,142441","-0,05593","0,340812",0,0,0,"0,159316",0,autophagy,UP,"1,10"
DCP1A,3,"0,141935","-0,3157","0,599571","0,384228","0,147631","90,4","0,543262",0,autophagy,UP,"1,10"
TMEM126A,3,"0,141824","-0,21485","0,498499","0,288744","0,083373","84,5","0,435774",0,Mitochondrial Biogenesis (complete),UP,"1,10"
FBXW7,3,"0,141611","-0,03346","0,31668","0,09177","0,008422","34,9","0,112869",0,autophagy,UP,"1,10"
GFER,3,"0,14132","-0,12962","0,412258","0,177861","0,031635","55,2","0,306627",0,Mitochondrial Biogenesis (complete),UP,"1,10"
DIABLO,3,"0,140938","-0,21894","0,500819","0,293992","0,086431","85,7","0,442734",0,Mitochondrial Biogenesis (complete),UP,"1,10"
TUFM,3,"0,140873","-0,31695","0,598692","0,385789","0,148834",91,"0,546441",0,Mitochondrial Biogenesis (complete),UP,"1,10"
MT2A,3,"0,140201","-1,05164","1,332039","1,003878","1,007771","92,7","0,817655",0,Mitochondrial Biogenesis (complete),UP,"1,10"
BMF,3,"0,138998","-0,33376","0,61176","0,388574","0,15099","87,7","0,564437",0,autophagy,UP,"1,10"
RNF111,3,"0,138892","-0,01393","0,291711","0,071895","0,005169","27,6","0,074852",0,autophagy,UP,"1,10"
TENT4B,3,"0,138726","-0,07214","0,349596","0,138486","0,019179","55,5","0,197246",0,autophagy,UP,"1,10"
TRIM2,3,"0,138579","-0,08631","0,36347","0,162314","0,026346","66,8","0,227138",0,autophagy,UP,"1,10"
PMPCA,3,"0,138185","-0,0572","0,333572","0,13169","0,017342","58,3","0,165692",0,Mitochondrial Biogenesis (complete),UP,"1,10"
GFM1,3,"0,137976","-0,12592","0,401869","0,195547","0,038238","71,1","0,305466",0,Mitochondrial Biogenesis (complete),UP,"1,10"
PRKCD,3,"0,137882","-0,45085","0,726613","0,460035","0,211633","79,8","0,646208",0,Autophagy,UP,"1,10"
CNOT6L,3,"0,137406","-0,16457","0,439379","0,222061","0,049311",70,"0,372469",0,autophagy,UP,"1,10"
RPP38,3,"0,137129","-0,03919","0,313446","0,067786","0,004595","17,8","0,127417",0,Mitochondrial Biogenesis (complete),UP,"1,10"
GALC,3,"0,137101","-0,00811","0,282308","0,064567","0,004169","24,9","0,06423",0,autophagy,UP,"1,10"
DNAJB14,3,"0,136382","-0,18077","0,453533","0,233682","0,054607","70,2","0,399316",0,autophagy,UP,"1,10"
NSUN3,3,"0,152236","0,007812","0,296659",0,0,0,"0,038827",1,Mitochondrial Biogenesis (complete),UP,"1,11"
UBA6,3,"0,135756","-0,14331","0,414821","0,207456","0,043038","71,7","0,34035",0,autophagy,UP,"1,10"
XIAP,3,"0,135385","-0,17147","0,442239","0,236764","0,056057","77,4","0,38717",0,Mitochondrial Biogenesis (complete),UP,"1,10"
GID4,3,"0,134834","-0,03523","0,304902",0,0,0,"0,1202",0,autophagy,UP,"1,10"
MAPK10,2,"0,134156","-0,11156","0,37987","0,095001","0,009025","27,5","0,284558",0,Autophagy,UP,"1,10"
RNF114,3,"0,134023","-0,11586","0,383903","0,193918","0,037604","77,2","0,293145",0,autophagy,UP,"1,10"
ANGEL2,3,"0,133601","-0,1558","0,422998","0,220682","0,048701","74,6","0,365549",0,autophagy,UP,"1,10"
CUL4A,3,"0,133207","-0,15107","0,417482","0,2009","0,040361","65,8","0,358395",0,autophagy,UP,"1,10"
VDAC3,3,"0,132723","-0,36735","0,632792","0,431171","0,185908","95,2","0,602924",0,Mitochondrial Biogenesis (complete),UP,"1,10"
TRAF6,3,"0,152101","0,006845","0,297356",0,0,0,"0,040135",1,Autophagy,UP,"1,11"
COX17,2,"0,132201","-0,61436","0,878762","0,515706","0,265952","91,6","0,728533",0,Mitochondrial Biogenesis (complete),UP,"1,10"
AFG1L,3,"0,13204","-0,04904","0,313123",0,0,0,"0,152954",0,Mitochondrial Biogenesis (complete),UP,"1,10"
UPF3B,3,"0,13203","-0,01126","0,275325",0,0,0,"0,070929",0,autophagy,UP,"1,10"
NEU3,3,"0,132017","-0,18527","0,449307","0,235701","0,055555","71,5","0,414781",0,autophagy,UP,"1,10"
MTERF3,3,"0,13181","-0,27134","0,534965","0,331058","0,109599","86,7","0,521641",0,Mitochondrial Biogenesis (complete),UP,"1,10"
MRAS,3,"0,131301","-0,10508","0,36768","0,162597","0,026438","60,7","0,276277",0,Autophagy,UP,"1,10"
FBXO45,3,"0,131236","-0,02404","0,286515",0,0,0,"0,097616",0,autophagy,UP,"1,10"
ERI2,3,"0,130736","-0,04409","0,305566",0,0,0,"0,142741",0,autophagy,UP,"1,09"
FBXL5,3,"0,129747","-0,03612","0,295619","0,099561","0,009912","46,1","0,125241",0,autophagy,UP,"1,09"
SCPEP1,3,"0,127959","-0,30433","0,560248","0,355838","0,126621","87,4","0,561804",0,autophagy,UP,"1,09"
MYO5B,3,"0,127614","-0,2652","0,520425","0,208043","0,043282","32,7","0,524285",0,Mitochondrial Biogenesis (complete),UP,"1,09"
PCID2,3,"0,12714","-0,08085","0,335133","0,12846","0,016502","50,1","0,230883",0,autophagy,UP,"1,09"
PSMA8,3,"0,127104","-0,23081","0,485015",0,0,0,"0,486398",0,autophagy,UP,"1,09"
CALCOCO2,3,"0,126993","-0,04531","0,2993","0,087528","0,007661","32,9","0,148584",0,Mitochondrial Biogenesis (complete),UP,"1,09"
ERAL1,3,"0,126929","-0,11256","0,366413","0,173128","0,029973",67,"0,29889",0,Mitochondrial Biogenesis (complete),UP,"1,09"
RBM8A,3,"0,126594","-0,16466","0,417852","0,232692","0,054146","82,1","0,394264",0,autophagy,UP,"1,09"
PSME2,3,"0,12656","-0,29137","0,544486","0,337044","0,113598","83,4","0,552816",0,autophagy,UP,"1,09"
COPS3,3,"0,126545","-0,05225","0,305339","0,108712","0,011818",48,"0,16537",0,autophagy,UP,"1,09"
RNF7,3,"0,125909","-0,0803","0,332114","0,126028","0,015883","47,5","0,231392",0,autophagy,UP,"1,09"
TRMT10C,3,"0,125892","-0,14129","0,393074","0,203751","0,041515","74,7","0,355737",0,Mitochondrial Biogenesis (complete),UP,"1,09"
HSPD1,3,"0,125806","-0,14404","0,395648","0,212006","0,044946",82,"0,360825",0,Mitochondrial Biogenesis (complete),UP,"1,09"
PSMD8,3,"0,12534","-0,18283","0,433505","0,250222","0,062611","84,5","0,425342",0,autophagy,UP,"1,09"
COX18,3,"0,124319","-0,17026","0,418901","0,227568","0,051787","76,8","0,408151",0,Mitochondrial Biogenesis (complete),UP,"1,09"
COA5,3,"0,123561","-0,01432","0,26144",0,0,0,"0,07901",0,Mitochondrial Biogenesis (complete),UP,"1,09"
POLE3,3,"0,120305","-0,12964","0,370249","0,183224","0,033571","69,1","0,345476",0,autophagy,UP,"1,09"
ATG4C,3,"0,12019","-0,31692","0,557295","0,35232","0,124129","84,9","0,58993",0,Mitochondrial Biogenesis (complete),UP,"1,09"
RPP25,3,"0,120088","-0,68887","0,929049","0,659597","0,435069","88,7","0,771085",0,Mitochondrial Biogenesis (complete),UP,"1,09"
HMGCL,3,"0,119795","-0,15143","0,391023","0,199512","0,039805","69,8","0,38666",0,autophagy,UP,"1,09"
EXOSC7,3,"0,119428","-0,01914","0,257993",0,0,0,"0,091161",0,autophagy,UP,"1,09"
SELENOS,3,"0,119263","-0,18412","0,422645","0,227082","0,051566","73,9","0,441006",0,autophagy,UP,"1,09"
CDC23,3,"0,118584","-0,0036","0,240771",0,0,0,"0,057145",0,autophagy,UP,"1,09"
FBXO2,3,"0,118234","-0,32892","0,565392","0,293648","0,086229","59,7","0,604286",0,autophagy,UP,"1,09"
CHCHD4,3,"0,117455","-0,22784","0,462748","0,273119","0,074594","81,1","0,504955",0,Mitochondrial Biogenesis (complete),UP,"1,08"
KCTD5,3,"0,11741","-0,02002","0,254835",0,0,0,"0,094025",0,autophagy,UP,"1,08"
NEU1,3,"0,117064","-0,27807","0,512197","0,276258","0,076319",63,"0,561455",0,autophagy,UP,"1,08"
COX15,3,"0,116896","-0,07511","0,308904","0,122454","0,014995","52,5","0,232764",0,Mitochondrial Biogenesis (complete),UP,"1,08"
MTX3,3,"0,115943","-0,1028","0,334686","0,150299","0,02259","60,9","0,298858",0,Mitochondrial Biogenesis (complete),UP,"1,08"
DNAJA2,3,"0,115644","-0,01681","0,248097","0,058308","0,0034","24,6","0,087035",0,Mitochondrial Biogenesis (complete),UP,"1,08"
MTX1,3,"0,115602","-0,16467","0,395878","0,177149","0,031382","51,2","0,41885",0,Mitochondrial Biogenesis (complete),UP,"1,08"
TOMM20L,3,"0,115482","-0,18498","0,415948",0,0,0,"0,451263",0,Mitochondrial Biogenesis (complete),UP,"1,08"
HADHA,3,"0,115406","-0,16889","0,399706","0,233996","0,054754","87,2","0,42625",0,autophagy,UP,"1,08"
GLUD1,3,"0,114672","-0,12528","0,354627","0,1722","0,029653","67,6","0,34893",0,autophagy,UP,"1,08"
NDUFAF5,3,"0,114613","-0,264","0,493231","0,308364","0,095088","86,2","0,552967",0,Mitochondrial Biogenesis (complete),UP,"1,08"
IGBP1,3,"0,114568","-0,28882","0,517952","0,310707","0,096539","78,2","0,577751",0,Autophagy,UP,"1,08"
UBR1,3,"0,11436","-0,01105","0,239772",0,0,0,"0,073891",0,autophagy,UP,"1,08"
TIMM21,3,"0,11435","-0,27083","0,499531","0,314925","0,099178","86,7","0,560654",0,Mitochondrial Biogenesis (complete),UP,"1,08"
RMND5B,3,"0,11336","-0,28344","0,510155","0,333245","0,111052","90,4","0,575515",0,autophagy,UP,"1,08"
PIK3C3,3,"0,113142","-0,08815","0,314435","0,14166","0,020068","63,7","0,270604",0,Autophagy,UP,"1,08"
UBL7,3,"0,112985","-0,25225","0,478224","0,291361","0,084891","82,4","0,544303",0,autophagy,UP,"1,08"
ATG2B,3,"0,111976","-0,03367","0,257621",0,0,0,"0,131835",0,Mitochondrial Biogenesis (complete),UP,"1,08"
CSDC2,3,"0,111447","-0,18044","0,403333","0,140689","0,019793","27,3","0,45424",0,autophagy,UP,"1,08"
CNOT1,3,"0,11132","-0,0136","0,23624",0,0,0,"0,080701",0,autophagy,UP,"1,08"
RMND1,3,"0,111223","-0,18235","0,4048","0,231975","0,053813","80,3","0,457752",0,Mitochondrial Biogenesis (complete),UP,"1,08"
UBR2,3,"0,111201","-0,04279","0,265189","0,087501","0,007656","41,3","0,156955",0,autophagy,UP,"1,08"
DRAM1,3,"0,110678","-0,41117","0,632525","0,405505","0,164434","79,3","0,677633",0,autophagy,UP,"1,08"
VDAC2,3,"0,110496","-0,28259","0,503577","0,326564","0,106644",90,"0,581661",0,Mitochondrial Biogenesis (complete),UP,"1,08"
ALDH6A1,3,"0,110487","-0,3553","0,57627","0,397252","0,157809","93,4","0,641985",0,autophagy,UP,"1,08"
UBAP1,3,"0,110382","-0,13762","0,358388","0,192081","0,036895","77,4","0,383018",0,autophagy,UP,"1,08"
HSP90B1,3,"0,110005","-0,3354","0,555412","0,363605","0,132208","88,8","0,628335",0,autophagy,UP,"1,08"
MIEF1,3,"0,109806","-0,0774","0,297014","0,114672","0,01315","47,9","0,250295",0,Mitochondrial Biogenesis (complete),UP,"1,08"
NOS2,3,"0,109235","-0,16481","0,383281",0,0,0,"0,434648",0,autophagy,UP,"1,08"
RNF166,3,"0,108717","-0,17958","0,397014","0,192509","0,03706","57,1","0,459835",0,autophagy,UP,"1,08"
ATPAF2,3,"0,108705","-0,12292","0,340332","0,159605","0,025474",61,"0,357648",0,Mitochondrial Biogenesis (complete),UP,"1,08"
UBE3B,3,"0,108579","-0,01371","0,230867",0,0,0,"0,081809",0,autophagy,UP,"1,08"
MSS51,3,"0,108527","-0,35498","0,572036","0,381393","0,145461","87,2","0,646293",0,Mitochondrial Biogenesis (complete),UP,"1,08"
HUWE1,3,"0,108003","-0,0256","0,241602",0,0,0,"0,113084",0,autophagy,UP,"1,08"
CTSB,3,"0,107524","-0,24762","0,462666","0,285773","0,081666","84,9","0,552901",0,autophagy,UP,"1,08"
RNF19B,3,"0,106854","-0,04697","0,260673",0,0,0,"0,173338",0,autophagy,UP,"1,08"
CTSH,3,"0,106244","-0,37169","0,584179","0,388495","0,150928","84,9","0,663051",0,autophagy,UP,"1,08"
MICU2,3,"0,106094","-0,01223","0,224422",0,0,0,"0,078859",0,Mitochondrial Biogenesis (complete),UP,"1,08"
PNPLA2,3,"0,10507","-0,17477","0,384912","0,220087","0,048438","79,2","0,461791",0,autophagy,UP,"1,08"
HSP90AA1,3,"0,105016","-0,01035","0,220383",0,0,0,"0,0744",0,Mitochondrial Biogenesis (complete),UP,"1,08"
MTCH2,3,"0,104887","-0,22974","0,439516","0,274317","0,07525","86,9","0,538984",0,Mitochondrial Biogenesis (complete),UP,"1,08"
PARN,3,"0,10442","-0,12986","0,338698","0,172257","0,029673","69,3","0,382342",0,autophagy,UP,"1,08"
BAX,3,"0,103698","-0,1462","0,353596",0,0,0,"0,416034",0,Mitochondrial Biogenesis (complete),UP,"1,07"
ATG3,3,"0,103459","-0,23464","0,441561","0,27056","0,073203","83,4","0,548667",0,Mitochondrial Biogenesis (complete),UP,"1,07"
UVRAG,3,"0,103407","-0,1244","0,331217","0,145252","0,021098",52,"0,373637",0,Autophagy,UP,"1,07"
DDIT4,3,"0,103336","-0,52973","0,736403","0,510057","0,260158","90,3","0,749018",0,Autophagy,UP,"1,07"
VDAC1,3,"0,102955","-0,33035","0,536261","0,361206","0,13047","90,3","0,64143",0,Mitochondrial Biogenesis (complete),UP,"1,07"
WDR45,3,"0,10288","-0,07912","0,284879",0,0,0,"0,267888",0,autophagy,UP,"1,07"
PUM2,3,"0,102336","-0,02334","0,228009",0,0,0,"0,110482",0,autophagy,UP,"1,07"
POLR2D,3,"0,102051","-0,03136","0,235463",0,0,0,"0,133803",0,autophagy,UP,"1,07"
TMEM150C,3,"0,101984","-0,63572","0,839688","0,610945","0,373253","89,7","0,78642",0,autophagy,UP,"1,07"
MT1X,3,"0,101828","-0,90734","1,110995","0,844412","0,713032","91,3","0,843225",0,Mitochondrial Biogenesis (complete),UP,"1,07"
SPSB1,3,"0,101806","-0,37963","0,58324","0,331214","0,109703","61,9","0,678531",0,autophagy,UP,"1,07"
UBB,3,"0,101577","-0,19877","0,401924","0,234495","0,054988","78,3","0,507416",0,Mitophagy,UP,"1,07"
CPT2,3,"0,101314","-0,25189","0,454522","0,281513","0,07925","82,9","0,573974",0,autophagy,UP,"1,07"
TIMM8B,3,"0,10065","-0,26281","0,46411","0,298051","0,088835","86,4","0,587289",0,Mitochondrial Biogenesis (complete),UP,"1,07"
IMMP2L,3,"0,100526","-0,09944","0,300494",0,0,0,"0,324469",0,Mitochondrial Biogenesis (complete),UP,"1,07"
FOXO3,2,"0,099874","-0,26231","0,462057","0,230749","0,053245","77,8","0,588865",0,Mitophagy,UP,"1,07"
DAP3,3,"0,099604","-0,15565","0,354854","0,198785","0,039515",78,"0,444371",0,Mitochondrial Biogenesis (complete),UP,"1,07"
NUDT16L1,3,"0,099103","-0,38534","0,583546","0,404981","0,16401","89,6","0,688452",0,autophagy,UP,"1,07"
SESN3,3,"0,098546","-0,15682","0,353914","0,173861","0,030228","59,8","0,449434",0,autophagy,UP,"1,07"
BECN1,3,"0,098128","-0,13808","0,334341","0,177726","0,031587",73,"0,415512",0,Mitochondrial Biogenesis (complete),UP,"1,07"
MTPAP,3,"0,098039","-0,14811","0,344191","0,176147","0,031028",66,"0,435016",0,Mitochondrial Biogenesis (complete),UP,"1,07"
UBE3C,3,"0,097821","-0,23585","0,431494","0,26773","0,071679","82,6","0,56556",0,autophagy,UP,"1,07"
HSP90AB1,3,"0,095548","-0,10577","0,296868","0,151713","0,023017","73,9","0,352255",0,Mitochondrial Biogenesis (complete),UP,"1,07"
GABARAPL1,3,"0,09545","-0,07493","0,265834",0,0,0,"0,272199",0,Mitochondrial Biogenesis (complete),UP,"1,07"
SESN1,3,"0,095427","-0,04791","0,23876",0,0,0,"0,191923",0,autophagy,UP,"1,07"
GLS,3,"0,095262","-0,05069","0,241213",0,0,0,"0,200794",0,autophagy,UP,"1,07"
DPYS,2,"0,095033","-0,15131","0,341371",0,0,0,"0,44957",0,autophagy,UP,"1,07"
SERAC1,3,"0,094942","-0,17694","0,366823","0,208733","0,043569","75,8","0,4937",0,Mitochondrial Biogenesis (complete),UP,"1,07"
DND1,3,"0,094457","-0,10689","0,295804",0,0,0,"0,357842",0,autophagy,UP,"1,07"
PYGB,3,"0,09425","-0,21771","0,406209","0,234553","0,055015","73,1","0,553741",0,autophagy,UP,"1,07"
PSMD6,3,"0,094055","-0,11501","0,30312","0,147983","0,021899","64,3","0,377896",0,autophagy,UP,"1,07"
ATP5MJ,3,"0,093649","-0,34027","0,52757","0,362208","0,131195","89,6","0,67229",0,Mitochondrial Biogenesis (complete),UP,"1,07"
TIMM44,3,"0,093201","-0,36564","0,552043","0,37622","0,141542","87,2","0,690543",0,Mitochondrial Biogenesis (complete),UP,"1,07"
GARS1,3,"0,092726","-0,82867","1,014123","0,806908","0,6511","98,3","0,843635",0,Mitochondrial Biogenesis (complete),UP,"1,07"
MTFP1,3,"0,092532","-0,62877","0,81383","0,572034","0,327223","89,3","0,801474",0,Mitochondrial Biogenesis (complete),UP,"1,07"
SIAH1,3,"0,092219","-0,23612","0,420553","0,269319","0,072533","86,2","0,581974",0,autophagy,UP,"1,07"
MANBA,3,"0,092154","-0,41342","0,597729","0,424825","0,180476","93,1","0,720897",0,autophagy,UP,"1,07"
SKP1,3,"0,092081","-0,34512","0,529278","0,36963","0,136626","91,6","0,679746",0,autophagy,UP,"1,07"
NAA25,3,"0,092051","-0,28808","0,472177","0,300485","0,090291","81,1","0,63505",0,Mitochondrial Biogenesis (complete),UP,"1,07"
NCBP1,3,"0,091712","-0,05736","0,240789","0,073855","0,005454","31,3","0,227895",0,autophagy,UP,"1,07"
EXOSC8,3,"0,091531","-0,49363","0,676694","0,502674","0,252681","94,8","0,759162",0,autophagy,UP,"1,07"
TRIM71,3,"0,091308","-0,11537","0,297987",0,0,0,"0,386546",0,autophagy,UP,"1,07"
UBE2B,3,"0,090888","-0,12071","0,302482","0,158625","0,025162","72,1","0,399846",0,autophagy,UP,"1,07"
RAB7B,3,"0,089688","-0,35036","0,529738","0,260624","0,067925",40,"0,689546",0,Mitophagy,UP,"1,06"
RAB1C,1,"0,77","-5,50862","7,048615",NA,NA,NA,"0,810042",0,autophagy,UP,"1,71"
TIMMDC1,3,"0,089395","-0,23518","0,413971","0,267888","0,071764","87,4","0,589318",0,Mitochondrial Biogenesis (complete),UP,"1,06"
MAN1B1,3,"0,088469","-0,07104","0,247983","0,070043","0,004906","24,4","0,277016",0,autophagy,UP,"1,06"
GPCPD1,3,"0,088329","-0,4064","0,583055","0,405901","0,164755","87,5","0,726383",0,autophagy,UP,"1,06"
PIK3CB,3,"0,08771","-0,04142","0,216845",0,0,0,"0,183103",0,Autophagy,UP,"1,06"
IL4I1,3,"0,087087","-0,12579","0,299961",0,0,0,"0,422644",0,autophagy,UP,"1,06"
LARS1,3,"0,08694","-0,35275","0,526634","0,373847","0,139761","92,8","0,698352",0,Mitochondrial Biogenesis (complete),UP,"1,06"
RARS2,3,"0,086932","-0,06535","0,239215","0,090152","0,008127","44,9","0,263188",0,Mitochondrial Biogenesis (complete),UP,"1,06"
CDC37,3,"0,086144","-0,16645","0,338741","0,186783","0,034888","70,1","0,503859",0,Mitochondrial Biogenesis (complete),UP,"1,06"
MICU1,3,"0,086064","-0,16846","0,34059","0,200514","0,040206","79,8","0,507495",0,Mitochondrial Biogenesis (complete),UP,"1,06"
ABAT,3,"0,085422","-0,39496","0,565808","0,397414","0,157938","91,2","0,727444",0,autophagy,UP,"1,06"
SMG1,3,"0,085134","-0,16838","0,338645","0,179352","0,032167","64,8","0,510405",0,autophagy,UP,"1,06"
GUSBP1,3,"0,084332","-0,18009","0,348752","0,18411","0,033897","62,3","0,531903",0,autophagy,UP,"1,06"
STX17,3,"0,084227","-0,06461","0,233061",0,0,0,"0,267351",0,Autophagy,UP,"1,06"
PSMB1,3,"0,083911","-0,24343","0,411257","0,261351","0,068304",82,"0,615369",0,autophagy,UP,"1,06"
DNASE1,3,"0,083703","-0,28067","0,448072","0,280527","0,078696","76,6","0,652527",0,autophagy,UP,"1,06"
ARMC8,3,"0,083611","-0,04698","0,2142",0,0,0,"0,209508",0,autophagy,UP,"1,06"
UBE2L6,3,"0,083407","-0,28277","0,449583","0,258654","0,066902","69,5","0,655276",0,autophagy,UP,"1,06"
TP53INP1,3,"0,08332","-0,11521","0,28185","0,108583","0,01179","38,2","0,410744",0,autophagy,UP,"1,06"
FYCO1,3,"0,082549","-0,07462","0,239718","0,072292","0,005226","26,2","0,303273",0,autophagy,UP,"1,06"
PSME1,3,"0,082202","-0,2454","0,409806","0,258451","0,066797","80,4","0,622859",0,autophagy,UP,"1,06"
CITED2,3,"0,081969","-0,26225","0,426188","0,275388","0,075839",82,"0,640688",0,Mitophagy,UP,"1,06"
GPX3,3,"0,081769","-0,4032","0,566733","0,410624","0,168612","92,2","0,741044",0,autophagy,UP,"1,06"
PRDX5,3,"0,081612","-0,24095","0,404173","0,25491","0,064979","80,7","0,619962",0,autophagy,UP,"1,06"
UBE3D,3,"0,081537","-0,33432","0,497393","0,301644","0,090989","70,3","0,700759",0,autophagy,UP,"1,06"
LNPEP,3,"0,080239","-0,0485","0,208973",0,0,0,"0,221842",0,autophagy,UP,"1,06"
SLC25A28,3,"0,08","-0,39755","0,557554","0,390594","0,152564","86,3","0,742654",0,Mitochondrial Biogenesis (complete),UP,"1,06"
ANAPC4,3,"0,079963","-0,10223","0,26216","0,109379","0,011964","46,1","0,389674",0,autophagy,UP,"1,06"
DBH,3,"0,079474","-0,14129","0,300235",0,0,0,"0,480433",0,autophagy,UP,"1,06"
MYO5C,3,"0,078601","-0,08904","0,246245",0,0,0,"0,35812",0,Mitochondrial Biogenesis (complete),UP,"1,06"
IRS2,3,"0,078415","-0,32068","0,47751","0,322969","0,104309","84,2","0,700161",0,Autophagy,UP,"1,06"
ATG4B,3,"0,078252","-0,0987","0,255203","0,09591","0,009199","36,9","0,386071",0,Mitochondrial Biogenesis (complete),UP,"1,06"
LSM1,3,"0,078116","-0,17528","0,331516","0,182394","0,033267","66,5","0,545702",0,autophagy,UP,"1,06"
NSFL1C,3,"0,077977","-0,07249","0,228447","0,086735","0,007523","42,5","0,30976",0,autophagy,UP,"1,06"
CNOT8,3,"0,077767","-0,04525","0,200783","0,032053","0,001027","8,4","0,215325",0,autophagy,UP,"1,06"
HCFC2,3,"0,077605","-0,06959","0,224794","0,034987","0,001224","6,3","0,30142",0,Mitochondrial Biogenesis (complete),UP,"1,06"
TNFAIP1,3,"0,07745","-0,1428","0,297697","0,157447","0,02479","67,2","0,490677",0,autophagy,UP,"1,06"
TOMM7,2,"0,076716","-0,56061","0,714038","0,425334","0,180909","85,4","0,813487",0,Mitochondrial Biogenesis (complete),UP,"1,05"
POLG,3,"0,075855","-0,21199","0,363697","0,194887","0,037981","59,2","0,605493",0,Mitochondrial Biogenesis (complete),UP,"1,05"
TOMM20,3,"0,075067","-0,21618","0,366316","0,21947","0,048167","76,3","0,613437",0,Mitochondrial Biogenesis (complete),UP,"1,05"
TTC19,3,"0,074352","-0,04227","0,190971",0,0,0,"0,211437",0,Mitochondrial Biogenesis (complete),UP,"1,05"
ISCA1,3,"0,073535","-0,14388","0,290954","0,157672","0,02486","67,6","0,507388",0,Mitochondrial Biogenesis (complete),UP,"1,05"
WWP2,3,"0,073394","-0,40394","0,550726","0,401593","0,161277","91,3","0,763133",0,autophagy,UP,"1,05"
UBE4A,3,"0,073206","-0,04192","0,188335",0,0,0,"0,212658",0,autophagy,UP,"1,05"
TFB1M,3,"0,072784","-0,07793","0,223497",0,0,0,"0,343865",0,Mitochondrial Biogenesis (complete),UP,"1,05"
DNAJC19,3,"0,07257","-0,33933","0,484469","0,341677","0,116743","88,5","0,729855",0,Mitochondrial Biogenesis (complete),UP,"1,05"
PYGL,3,"0,072529","-0,3928","0,53786","0,359485","0,129229","78,7","0,759987",0,autophagy,UP,"1,05"
RNF19A,3,"0,072392","-0,24997","0,394755","0,251782","0,063394","78,5","0,659829",0,autophagy,UP,"1,05"
PTCD1,3,"0,07116","-0,55853","0,700847","0,518229","0,268562","86,8","0,824705",0,Mitochondrial Biogenesis (complete),UP,"1,05"
UGGT1,3,"0,070865","-0,05228","0,194005",0,0,0,"0,259344",0,autophagy,UP,"1,05"
ARG1,3,"0,070527","-0,15336","0,294415",0,0,0,"0,536954",0,autophagy,UP,"1,05"
TFB2M,3,"0,070491","-0,22419","0,365176","0,220934","0,048812","72,3","0,639177",0,Mitochondrial Biogenesis (complete),UP,"1,05"
AUH,3,"0,070196","-0,36201","0,5024","0,348148","0,121207","84,1","0,750234",0,autophagy,UP,"1,05"
NHLRC3,3,"0,070179","-0,0788","0,219158",0,0,0,"0,355852",0,autophagy,UP,"1,05"
SEL1L2,3,"0,069981","-0,11943","0,259392",0,0,0,"0,468967",0,autophagy,UP,"1,05"
FXR1,3,"0,069487","-0,07782","0,216795","0,090737","0,008233","48,6","0,355197",0,autophagy,UP,"1,05"
MTX2,3,"0,069207","-0,24302","0,381434","0,247213","0,061114","80,6","0,663966",0,Mitochondrial Biogenesis (complete),UP,"1,05"
GLRX5,3,"0,069017","-0,30011","0,438147","0,297849","0,088714","83,5","0,714019",0,Mitochondrial Biogenesis (complete),UP,"1,05"
BCKDHA,3,"0,069013","-0,2751","0,413131","0,255229","0,065142","76,2","0,69426",0,autophagy,UP,"1,05"
RRAS,3,"0,068924","-0,1236","0,261447",0,0,0,"0,482876",0,Autophagy,UP,"1,05"
EXOSC3,3,"0,068621","-0,34541","0,482652","0,332084","0,11028",83,"0,745295",0,autophagy,UP,"1,05"
TBC1D12,3,"0,068551","-0,20752","0,344625","0,194237","0,037728","64,1","0,626481",0,autophagy,UP,"1,05"
GDPD1,3,"0,067939","-0,12675","0,262628",0,0,0,"0,493993",0,autophagy,UP,"1,05"
PDPK1,3,"0,067619","-0,29633","0,431568","0,266335","0,070934",69,"0,715743",0,Autophagy,UP,"1,05"
VPS25,3,"0,066964","-0,22438","0,358309","0,228106","0,052032","78,5","0,652354",0,autophagy,UP,"1,05"
YARS2,3,"0,066662","-0,12539","0,258717","0,097879","0,00958","33,1","0,496307",0,Mitochondrial Biogenesis (complete),UP,"1,05"
