gene_symbol,annotation_ids,annotation_names,databases,n_annotation
ABCB10,GO:0005743,mitochondrial inner membrane,GO,1
ABCB6,GO:0005741,mitochondrial outer membrane,GO,1
ABCB7,GO:0005743,mitochondrial inner membrane,GO,1
ABCB8,GO:0005743,mitochondrial inner membrane,GO,1
ABL1,GO:0006914|GO:0010506,autophagy|regulation of autophagy,GO,2
ABL2,GO:0010506,regulation of autophagy,GO,1
ACACB,GO:0005741,mitochondrial outer membrane,GO,1
ACAD11,GO:0005743,mitochondrial inner membrane,GO,1
ACAD9,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
ACADVL,GO:0005743,mitochondrial inner membrane,GO,1
ACBD5,GO:0006914,autophagy,GO,1
ACER2,GO:0010506,regulation of autophagy,GO,1
ACSL1,GO:0005741,mitochondrial outer membrane,GO,1
ACSL3,GO:0005741,mitochondrial outer membrane,GO,1
ACSL4,GO:0005741,mitochondrial outer membrane,GO,1
ACSL5,GO:0005741,mitochondrial outer membrane,GO,1
ACSL6,GO:0005741,mitochondrial outer membrane,GO,1
ACTB,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
ACTG1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
ADCK1,GO:0005743|GO:0007005,mitochondrial inner membrane|mitochondrion organization,GO,2
ADRA1A,GO:0010507,negative regulation of autophagy,GO,1
AFG1L,GO:0007005|br:hsa03029,mitochondrion organization|Mitochondrial Biogenesis,GO|KEGG,2
AFG3L2,GO:0005743|GO:0007005|GO:0008053,mitochondrial inner membrane|mitochondrion organization|mitochondrial fusion,GO,3
AGK,GO:0005743|GO:0005741,mitochondrial inner membrane|mitochondrial outer membrane,GO,2
AGPAT4,GO:0005741,mitochondrial outer membrane,GO,1
AGPAT5,GO:0005741,mitochondrial outer membrane,GO,1
AGTPBP1,GO:0007005,mitochondrion organization,GO,1
AIFM1,GO:0005743,mitochondrial inner membrane,GO,1
AIFM2,GO:0005741,mitochondrial outer membrane,GO,1
AIFM3,GO:0005743,mitochondrial inner membrane,GO,1
AIP,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
AIPL1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
AKAP1,GO:0005741,mitochondrial outer membrane,GO,1
AKT1,GO:0010507|path:hsa04140,negative regulation of autophagy|Autophagy,GO|KEGG,2
AKT1S1,path:hsa04140,Autophagy,KEGG,1
AKT2,path:hsa04140,Autophagy,KEGG,1
AKT3,path:hsa04140,Autophagy,KEGG,1
ALAS1,GO:0005743,mitochondrial inner membrane,GO,1
ALAS2,GO:0005743,mitochondrial inner membrane,GO,1
ALDH18A1,GO:0005743,mitochondrial inner membrane,GO,1
AMBP,GO:0005743,mitochondrial inner membrane,GO,1
AMBRA1,GO:0006914|GO:0000422|GO:0005741|path:hsa04137|path:hsa04140|br:hsa03029,autophagy|autophagy of mitochondrion|mitochondrial outer membrane|Mitophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,6
ANXA7,GO:0006914,autophagy,GO,1
APOO,GO:0005743|GO:0007007|br:hsa03029,mitochondrial inner membrane|inner mitochondrial membrane organization|Mitochondrial Biogenesis,GO|KEGG,3
APOOL,GO:0005743|GO:0007007|br:hsa03029,mitochondrial inner membrane|inner mitochondrial membrane organization|Mitochondrial Biogenesis,GO|KEGG,3
AQP8,GO:0005743,mitochondrial inner membrane,GO,1
ARFIP2,GO:0006914,autophagy,GO,1
ARG1,GO:0005741,mitochondrial outer membrane,GO,1
ARMC1,GO:0005741,mitochondrial outer membrane,GO,1
ARMC12,GO:0005741,mitochondrial outer membrane,GO,1
ARMCX1,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
ARMCX2,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
ARMCX3,GO:0005741|GO:0007005|br:hsa03029,mitochondrial outer membrane|mitochondrion organization|Mitochondrial Biogenesis,GO|KEGG,3
ARMCX6,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
ARSA,GO:0006914,autophagy,GO,1
ARSB,GO:0006914,autophagy,GO,1
ASS1,GO:0005741,mitochondrial outer membrane,GO,1
ATAD1,GO:0005741,mitochondrial outer membrane,GO,1
ATAD3A,GO:0007005|GO:0005743|br:hsa03029,mitochondrion organization|mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,3
ATAD3B,GO:0007005|GO:0005743|br:hsa03029,mitochondrion organization|mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,3
ATAD3C,GO:0007005,mitochondrion organization,GO,1
ATF2,GO:0005741,mitochondrial outer membrane,GO,1
ATF4,path:hsa04137,Mitophagy,KEGG,1
ATG10,GO:0006914|path:hsa04140|br:hsa03029,autophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,3
ATG101,GO:0006914|path:hsa04140,autophagy|Autophagy,GO|KEGG,2
ATG12,GO:0006914|GO:0000422|path:hsa04140|br:hsa03029,autophagy|autophagy of mitochondrion|Autophagy|Mitochondrial Biogenesis,GO|KEGG,4
ATG13,GO:0006914|path:hsa04140|br:hsa03029,autophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,3
ATG14,GO:0006914|path:hsa04140|br:hsa03029,autophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,3
ATG16L1,GO:0006914|path:hsa04140|br:hsa03029,autophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,3
ATG16L2,path:hsa04140|br:hsa03029,Autophagy|Mitochondrial Biogenesis,KEGG,2
ATG2A,GO:0006914|GO:0000422|path:hsa04140|br:hsa03029,autophagy|autophagy of mitochondrion|Autophagy|Mitochondrial Biogenesis,GO|KEGG,4
ATG2B,GO:0006914|GO:0000422|path:hsa04140|br:hsa03029,autophagy|autophagy of mitochondrion|Autophagy|Mitochondrial Biogenesis,GO|KEGG,4
ATG3,GO:0006914|GO:0000422|path:hsa04140|br:hsa03029,autophagy|autophagy of mitochondrion|Autophagy|Mitochondrial Biogenesis,GO|KEGG,4
ATG4A,GO:0006914|path:hsa04140|br:hsa03029,autophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,3
ATG4B,GO:0006914|path:hsa04140|br:hsa03029,autophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,3
ATG4C,GO:0006914|path:hsa04140|br:hsa03029,autophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,3
ATG4D,GO:0006914|path:hsa04140|br:hsa03029,autophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,3
ATG5,GO:0006914|GO:0000422|path:hsa04137|path:hsa04140|br:hsa03029,autophagy|autophagy of mitochondrion|Mitophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,5
ATG7,GO:0006914|GO:0000422|path:hsa04140|br:hsa03029,autophagy|autophagy of mitochondrion|Autophagy|Mitochondrial Biogenesis,GO|KEGG,4
ATG9A,GO:0006914|GO:0000422|path:hsa04137|path:hsa04140|br:hsa03029,autophagy|autophagy of mitochondrion|Mitophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,5
ATG9B,GO:0006914|GO:0000422|path:hsa04137|path:hsa04140|br:hsa03029,autophagy|autophagy of mitochondrion|Mitophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,5
ATM,GO:0010506,regulation of autophagy,GO,1
ATP13A2,GO:0006914,autophagy,GO,1
ATP23,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
ATP5F1A,GO:0005743,mitochondrial inner membrane,GO,1
ATP5F1B,GO:0005743,mitochondrial inner membrane,GO,1
ATP5F1C,GO:0005743,mitochondrial inner membrane,GO,1
ATP5F1D,GO:0005743,mitochondrial inner membrane,GO,1
ATP5F1E,GO:0005743,mitochondrial inner membrane,GO,1
ATP5MC1,GO:0005743,mitochondrial inner membrane,GO,1
ATP5MC2,GO:0005741|GO:0005743,mitochondrial outer membrane|mitochondrial inner membrane,GO,2
ATP5MC3,GO:0005741|GO:0005743,mitochondrial outer membrane|mitochondrial inner membrane,GO,2
ATP5ME,GO:0005743,mitochondrial inner membrane,GO,1
ATP5MF,GO:0005743,mitochondrial inner membrane,GO,1
ATP5MF-PTCD1,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
ATP5MG,GO:0005743,mitochondrial inner membrane,GO,1
ATP5MGL,GO:0005743,mitochondrial inner membrane,GO,1
ATP5MJ,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
ATP5MK,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
ATP5PB,GO:0005743,mitochondrial inner membrane,GO,1
ATP5PD,GO:0005743,mitochondrial inner membrane,GO,1
ATP5PF,GO:0005743,mitochondrial inner membrane,GO,1
ATP5PO,GO:0005743,mitochondrial inner membrane,GO,1
ATP6,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
ATP7A,GO:0007005,mitochondrion organization,GO,1
ATP8,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
ATPAF1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
ATPAF2,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
AURKAIP1,GO:0005743,mitochondrial inner membrane,GO,1
BAD,GO:0005741|path:hsa04140,mitochondrial outer membrane|Autophagy,GO|KEGG,2
BAK1,GO:0005741|GO:0008053|br:hsa03029,mitochondrial outer membrane|mitochondrial fusion|Mitochondrial Biogenesis,GO|KEGG,3
BAX,GO:0005741|GO:0008053|GO:0070584|br:hsa03029,mitochondrial outer membrane|mitochondrial fusion|mitochondrion morphogenesis|Mitochondrial Biogenesis,GO|KEGG,4
BBC3,GO:0005741,mitochondrial outer membrane,GO,1
BCAS3,GO:0006914,autophagy,GO,1
BCL2,GO:0005741|GO:0010506|GO:0010507|path:hsa04140,mitochondrial outer membrane|regulation of autophagy|negative regulation of autophagy|Autophagy,GO|KEGG,4
BCL2A1,GO:0005741,mitochondrial outer membrane,GO,1
BCL2L1,GO:0005743|GO:0005741|GO:0010507|GO:0070584|path:hsa04137|path:hsa04140,mitochondrial inner membrane|mitochondrial outer membrane|negative regulation of autophagy|mitochondrion morphogenesis|Mitophagy|Autophagy,GO|KEGG,6
BCL2L10,GO:0005741,mitochondrial outer membrane,GO,1
BCL2L11,GO:0005741,mitochondrial outer membrane,GO,1
BCL2L13,path:hsa04137,Mitophagy,KEGG,1
BCL2L2,GO:0005741,mitochondrial outer membrane,GO,1
BCL2L2-PABPN1,GO:0005741,mitochondrial outer membrane,GO,1
BCS1L,GO:0005743|GO:0007005|br:hsa03029,mitochondrial inner membrane|mitochondrion organization|Mitochondrial Biogenesis,GO|KEGG,3
BDH1,GO:0005743,mitochondrial inner membrane,GO,1
BECN1,GO:0006914|GO:0000422|GO:0010506|GO:0010507|path:hsa04137|path:hsa04140|br:hsa03029,autophagy|autophagy of mitochondrion|regulation of autophagy|negative regulation of autophagy|Mitophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,7
BECN2,GO:0006914|path:hsa04137|path:hsa04140|br:hsa03029,autophagy|Mitophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,4
BID,GO:0005741,mitochondrial outer membrane,GO,1
BMF,GO:0010507|GO:0005741,negative regulation of autophagy|mitochondrial outer membrane,GO,2
BNIP3,GO:0005741|GO:0000422|path:hsa04137|path:hsa04140,mitochondrial outer membrane|autophagy of mitochondrion|Mitophagy|Autophagy,GO|KEGG,4
BNIP3L,GO:0005741|path:hsa04137|br:hsa03029,mitochondrial outer membrane|Mitophagy|Mitochondrial Biogenesis,GO|KEGG,3
BOK,GO:0005743|GO:0005741|GO:0010506,mitochondrial inner membrane|mitochondrial outer membrane|regulation of autophagy,GO,3
BOLA1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
BOLA3,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
BPHL,GO:0005741,mitochondrial outer membrane,GO,1
BRI3BP,GO:0005741,mitochondrial outer membrane,GO,1
C11orf65,GO:0005741,mitochondrial outer membrane,GO,1
C12orf73,GO:0005743,mitochondrial inner membrane,GO,1
C19orf12,GO:0006914|br:hsa03029,autophagy|Mitochondrial Biogenesis,GO|KEGG,2
C9orf72,GO:0006914|GO:0010506|path:hsa04140,autophagy|regulation of autophagy|Autophagy,GO|KEGG,3
CABS1,GO:0005743,mitochondrial inner membrane,GO,1
CALCOCO2,GO:0006914|path:hsa04137|br:hsa03029,autophagy|Mitophagy|Mitochondrial Biogenesis,GO|KEGG,3
CAMKK2,path:hsa04140,Autophagy,KEGG,1
CAMKMT,GO:0007005,mitochondrion organization,GO,1
CASP8,GO:0005741,mitochondrial outer membrane,GO,1
CAV2,GO:0007005,mitochondrion organization,GO,1
CCDC51,GO:0005743,mitochondrial inner membrane,GO,1
CD84,GO:0006914,autophagy,GO,1
CDC37,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
CDK5,GO:0007005,mitochondrion organization,GO,1
CDS2,GO:0005743,mitochondrial inner membrane,GO,1
CEBPA,GO:0007005,mitochondrion organization,GO,1
CEP89,GO:0007005,mitochondrion organization,GO,1
CERT1,GO:0070584,mitochondrion morphogenesis,GO,1
CFLAR,path:hsa04140,Autophagy,KEGG,1
CHCHD1,GO:0005743,mitochondrial inner membrane,GO,1
CHCHD10,GO:0007005|br:hsa03029,mitochondrion organization|Mitochondrial Biogenesis,GO|KEGG,2
CHCHD2,GO:0007005,mitochondrion organization,GO,1
CHCHD3,GO:0005743|GO:0008053|GO:0007007|br:hsa03029,mitochondrial inner membrane|mitochondrial fusion|inner mitochondrial membrane organization|Mitochondrial Biogenesis,GO|KEGG,4
CHCHD4,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
CHCHD6,GO:0005743|GO:0007007|br:hsa03029,mitochondrial inner membrane|inner mitochondrial membrane organization|Mitochondrial Biogenesis,GO|KEGG,3
CHDH,GO:0005743,mitochondrial inner membrane,GO,1
CHMP1A,GO:0006914,autophagy,GO,1
CHMP1B,GO:0006914,autophagy,GO,1
CHMP2A,GO:0006914,autophagy,GO,1
CHMP2B,GO:0006914,autophagy,GO,1
CHMP3,GO:0006914,autophagy,GO,1
CHMP4A,GO:0006914,autophagy,GO,1
CHMP4B,GO:0006914|GO:0010506,autophagy|regulation of autophagy,GO,2
CHMP4C,GO:0006914,autophagy,GO,1
CHMP5,GO:0006914,autophagy,GO,1
CHMP6,GO:0006914,autophagy,GO,1
CHMP7,GO:0006914,autophagy,GO,1
CIBAR1,GO:0005743|GO:0007007,mitochondrial inner membrane|inner mitochondrial membrane organization,GO,2
CISD1,GO:0010506|GO:0005741,regulation of autophagy|mitochondrial outer membrane,GO,2
CISD2,GO:0010506|GO:0006914|GO:0005741|GO:0000422,regulation of autophagy|autophagy|mitochondrial outer membrane|autophagy of mitochondrion,GO,4
CITED2,path:hsa04137,Mitophagy,KEGG,1
CKMT1A,GO:0005743,mitochondrial inner membrane,GO,1
CKMT1B,GO:0005743,mitochondrial inner membrane,GO,1
CKMT2,GO:0005743,mitochondrial inner membrane,GO,1
CLEC16A,GO:0006914|br:hsa03029,autophagy|Mitochondrial Biogenesis,GO|KEGG,2
CLN3,GO:0010506,regulation of autophagy,GO,1
CLPX,GO:0005743,mitochondrial inner membrane,GO,1
CLTC,GO:0006914,autophagy,GO,1
CLU,GO:0005743,mitochondrial inner membrane,GO,1
CLUH,GO:0007005,mitochondrion organization,GO,1
CMC1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
CMC2,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
CNP,GO:0005741|GO:0005743,mitochondrial outer membrane|mitochondrial inner membrane,GO,2
CNR1,GO:0005741,mitochondrial outer membrane,GO,1
CNTNAP1,GO:0007005,mitochondrion organization,GO,1
COA1,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
COA3,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
COA4,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
COA5,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
COA6,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
COA7,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
COA8,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
COASY,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
COQ10A,GO:0005743,mitochondrial inner membrane,GO,1
COQ10B,GO:0005743,mitochondrial inner membrane,GO,1
COQ2,GO:0005743,mitochondrial inner membrane,GO,1
COQ3,GO:0005743,mitochondrial inner membrane,GO,1
COQ4,GO:0005743,mitochondrial inner membrane,GO,1
COQ5,GO:0005743,mitochondrial inner membrane,GO,1
COQ6,GO:0005743,mitochondrial inner membrane,GO,1
COQ7,GO:0005743,mitochondrial inner membrane,GO,1
COQ9,GO:0005743,mitochondrial inner membrane,GO,1
COX1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
COX10,GO:0005743|GO:0000266|GO:0007005|br:hsa03029,mitochondrial inner membrane|mitochondrial fission|mitochondrion organization|Mitochondrial Biogenesis,GO|KEGG,4
COX11,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
COX14,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
COX15,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
COX16,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
COX17,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
COX18,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
COX19,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
COX2,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
COX20,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
COX3,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
COX4I1,GO:0005743,mitochondrial inner membrane,GO,1
COX4I2,GO:0005743,mitochondrial inner membrane,GO,1
COX5A,GO:0005743,mitochondrial inner membrane,GO,1
COX5B,GO:0005743,mitochondrial inner membrane,GO,1
COX6A1,GO:0005743,mitochondrial inner membrane,GO,1
COX6A2,GO:0005743,mitochondrial inner membrane,GO,1
COX6B1,GO:0005743,mitochondrial inner membrane,GO,1
COX6B2,GO:0005743,mitochondrial inner membrane,GO,1
COX6C,GO:0005743,mitochondrial inner membrane,GO,1
COX7A1,GO:0005743,mitochondrial inner membrane,GO,1
COX7A2,GO:0005743,mitochondrial inner membrane,GO,1
COX7A2L,GO:0005743,mitochondrial inner membrane,GO,1
COX7B,GO:0005743,mitochondrial inner membrane,GO,1
COX7B2,GO:0005743,mitochondrial inner membrane,GO,1
COX7C,GO:0005743,mitochondrial inner membrane,GO,1
COX8A,GO:0005743,mitochondrial inner membrane,GO,1
COX8C,GO:0005743,mitochondrial inner membrane,GO,1
CPOX,GO:0005743,mitochondrial inner membrane,GO,1
CPS1,GO:0005743,mitochondrial inner membrane,GO,1
CPT1A,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
CPT1B,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
CPT1C,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
CPT2,GO:0005743,mitochondrial inner membrane,GO,1
CPTP,GO:0010507,negative regulation of autophagy,GO,1
CRAT,GO:0005743,mitochondrial inner membrane,GO,1
CREB1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
CREBBP,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
CRLS1,GO:0005743,mitochondrial inner membrane,GO,1
CRTC1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
CRYBA1,GO:0010506,regulation of autophagy,GO,1
CSNK2A1,path:hsa04137,Mitophagy,KEGG,1
CSNK2A2,path:hsa04137,Mitophagy,KEGG,1
CSNK2A3,path:hsa04137,Mitophagy,KEGG,1
CSNK2B,path:hsa04137,Mitophagy,KEGG,1
CTSB,path:hsa04140,Autophagy,KEGG,1
CTSD,path:hsa04140,Autophagy,KEGG,1
CTSK,GO:0000422,autophagy of mitochondrion,GO,1
CTSL,path:hsa04140,Autophagy,KEGG,1
CXADR,GO:0007005,mitochondrion organization,GO,1
CYB5A,GO:0005741,mitochondrial outer membrane,GO,1
CYB5B,GO:0005741,mitochondrial outer membrane,GO,1
CYB5R3,GO:0005741,mitochondrial outer membrane,GO,1
CYC1,GO:0005743,mitochondrial inner membrane,GO,1
CYCS,GO:0005743,mitochondrial inner membrane,GO,1
CYP11A1,GO:0005743,mitochondrial inner membrane,GO,1
CYP11B1,GO:0005743,mitochondrial inner membrane,GO,1
CYP11B2,GO:0005743,mitochondrial inner membrane,GO,1
CYP1A1,GO:0005743,mitochondrial inner membrane,GO,1
CYP24A1,GO:0005743,mitochondrial inner membrane,GO,1
CYP27A1,GO:0005743,mitochondrial inner membrane,GO,1
CYP27B1,GO:0005741,mitochondrial outer membrane,GO,1
CYP2E1,GO:0005743,mitochondrial inner membrane,GO,1
CYP2U1,GO:0005743,mitochondrial inner membrane,GO,1
CYTB,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
DAO,GO:0005741,mitochondrial outer membrane,GO,1
DAP,GO:0006914|GO:0010507,autophagy|negative regulation of autophagy,GO,2
DAP3,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
DAPK1,GO:0010506|path:hsa04140,regulation of autophagy|Autophagy,GO|KEGG,2
DAPK2,GO:0010506|path:hsa04140,regulation of autophagy|Autophagy,GO|KEGG,2
DAPK3,GO:0010506|path:hsa04140,regulation of autophagy|Autophagy,GO|KEGG,2
DAPL1,GO:0010507,negative regulation of autophagy,GO,1
DARS2,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
DCAF12,GO:0010506,regulation of autophagy,GO,1
DDHD2,GO:0000266,mitochondrial fission,GO,1
DDIT3,GO:0010506,regulation of autophagy,GO,1
DDIT4,path:hsa04140,Autophagy,KEGG,1
DELE1,GO:0005743,mitochondrial inner membrane,GO,1
DEPP1,GO:0006914|GO:0010506,autophagy|regulation of autophagy,GO,2
DEPTOR,path:hsa04140,Autophagy,KEGG,1
DHFR2,GO:0005743,mitochondrial inner membrane,GO,1
DHODH,GO:0005743,mitochondrial inner membrane,GO,1
DHRS13,GO:0005743,mitochondrial inner membrane,GO,1
DHTKD1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
DHX30,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
DIABLO,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
DMAC1,GO:0005743,mitochondrial inner membrane,GO,1
DMAC2L,GO:0005743,mitochondrial inner membrane,GO,1
DMD,GO:0005741,mitochondrial outer membrane,GO,1
DMPK,GO:0005741,mitochondrial outer membrane,GO,1
DNAJA2,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
DNAJA3,GO:0007005|br:hsa03029,mitochondrion organization|Mitochondrial Biogenesis,GO|KEGG,2
DNAJC11,GO:0005741|GO:0007007,mitochondrial outer membrane|inner mitochondrial membrane organization,GO,2
DNAJC15,GO:0005743,mitochondrial inner membrane,GO,1
DNAJC19,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
DNAJC30,GO:0005743,mitochondrial inner membrane,GO,1
DNLZ,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
DNM1L,GO:0000266|GO:0005741|GO:0070584|GO:0007005|br:hsa03029,mitochondrial fission|mitochondrial outer membrane|mitochondrion morphogenesis|mitochondrion organization|Mitochondrial Biogenesis,GO|KEGG,5
DRAM1,GO:0006914|GO:0010506,autophagy|regulation of autophagy,GO,2
DRAM2,GO:0010506|GO:0006914,regulation of autophagy|autophagy,GO,2
DRD2,GO:0006914,autophagy,GO,1
DRD3,GO:0006914,autophagy,GO,1
DUSP18,GO:0005743,mitochondrial inner membrane,GO,1
DUSP21,GO:0005743,mitochondrial inner membrane,GO,1
E2F1,path:hsa04137,Mitophagy,KEGG,1
ECSIT,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
EDN1,GO:0007005,mitochondrion organization,GO,1
EDNRA,GO:0007005,mitochondrion organization,GO,1
EFHD1,GO:0005743,mitochondrial inner membrane,GO,1
EI24,GO:0006914,autophagy,GO,1
EIF2AK3,path:hsa04137|path:hsa04140,Mitophagy|Autophagy,KEGG,2
EIF2AK4,path:hsa04140,Autophagy,KEGG,1
EIF2S1,path:hsa04140,Autophagy,KEGG,1
EIF4G1,GO:0010507,negative regulation of autophagy,GO,1
EIF4G2,GO:0010507,negative regulation of autophagy,GO,1
ELAPOR1,GO:0006914,autophagy,GO,1
ENDOG,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
EP300,GO:0010506|br:hsa03029,regulation of autophagy|Mitochondrial Biogenesis,GO|KEGG,2
EPAS1,GO:0007005,mitochondrion organization,GO,1
EPG5,GO:0006914,autophagy,GO,1
EPHA4,GO:0005741,mitochondrial outer membrane,GO,1
EPM2A,GO:0006914|GO:0007005,autophagy|mitochondrion organization,GO,2
ERAL1,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
ERCC4,GO:0010506,regulation of autophagy,GO,1
ERN1,path:hsa04140,Autophagy,KEGG,1
ESRRA,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
ESRRB,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
ESRRG,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
ETFDH,GO:0005743,mitochondrial inner membrane,GO,1
ETHE1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
EVA1A,GO:0006914,autophagy,GO,1
EXD2,GO:0005741,mitochondrial outer membrane,GO,1
EXOG,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
FAM210B,GO:0005741,mitochondrial outer membrane,GO,1
FANCG,GO:0007005,mitochondrion organization,GO,1
FASTKD2,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
FATE1,GO:0005741,mitochondrial outer membrane,GO,1
FBXL2,GO:0010506,regulation of autophagy,GO,1
FBXL4,GO:0000422|br:hsa03029,autophagy of mitochondrion|Mitochondrial Biogenesis,GO|KEGG,2
FBXO7,GO:0000422,autophagy of mitochondrion,GO,1
FDX1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
FDX2,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
FDXR,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
FECH,GO:0005743,mitochondrial inner membrane,GO,1
FEZ1,GO:0070584,mitochondrion morphogenesis,GO,1
FGR,GO:0005743,mitochondrial inner membrane,GO,1
